Transaction_ID,Date,Region,Store,Category,Revenue
TXN-1001,2026-07-01,Москва,МСК-Центр,Электроника,45000
TXN-1002,2026-07-01,Москва,МСК-Север,Одежда,12500
TXN-1003,2026-07-02,Санкт-Петербург,СПБ-Невский,Одежда,8900
TXN-1004,2026-07-02,Екатеринбург,Урал-1,Бытовая техника,23000
TXN-1005,2026-07-03,Москва,МСК-Центр,Продукты,1500
TXN-1006,2026-07-03,Казань,Поволжье-1,Электроника,32000
TXN-1007,2026-07-04,Санкт-Петербург,СПБ-Невский,Продукты,2100
TXN-1008,2026-07-04,Новосибирск,Сибирь-1,Одежда,5400
TXN-1009,2026-07-04,Екатеринбург,Урал-1,Электроника,18500
TXN-1010,2026-07-04,Москва,МСК-Север,Бытовая техника,31000
